periodo_id,Coal,Combustible renewables,Geothermal,Hydro,Natural gas,Oil,Solar,Wind
1,0.19420597183252908,0.2424847982025364,0.0,0.6674966460408065,0.26562189928060076,0.3280132742717704,0.0,0.007045806583338546
2,0.15257843860896325,0.24723352437238846,0.0,0.3938371376838475,0.09945790139776362,0.7780181319482921,0.0,0.00020030075249032053
3,0.18295977919437123,0.22841354742279202,0.0,0.3120838173183232,0.4577970111987277,0.4400693133250144,0.0,0.0
4,0.13048090940425894,0.23468366338954166,0.0,0.3934051336514209,0.3295470857994937,0.6561391091296118,0.0,0.006172905008565384
5,0.2967388532016899,0.22897363712650218,0.0,0.4439832680972136,0.40706790307110935,0.2983830113179691,0.0,0.00017867737580102433
6,0.2890809511413144,0.24046109299801335,0.0,0.34727148933380486,0.3768799988548038,0.6602265672953042,0.0,0.0045636705538988145
7,0.2769441707212008,0.2766005200405617,0.0,0.40033555961672546,0.34560768655207624,0.8740424807743772,0.0,0.01049871841888194
8,0.28521789453803115,0.23240157869419537,0.0,0.27016463500772153,0.4089909881590374,1.0,0.0,0.005858797010341921
9,0.033658069547561065,0.2188823934103716,0.0,0.37563635386195354,0.4554986277265642,0.8950515318110637,0.0,0.10803266608463818
10,0.24135140249478093,0.31677130907657686,0.0,0.5154291864659142,0.3556239408782805,0.5261810607981675,0.0,0.009769213973732527
11,0.23141947532125662,0.37613921282829715,0.0,0.5312149300356945,0.5713688125464915,0.13825251362837282,0.0,0.011715317875769179
12,0.2687026310367282,0.44539935994296725,0.0,0.4555984131154563,0.6351389012637361,0.42256251760767155,0.0,0.009839774466087074
13,0.227597249333651,0.5143818694681191,0.0,0.47313308446232166,0.6629920410420596,0.28661353355211994,0.0,0.015304798406192342
14,0.16034874495249818,0.5242323869505633,0.0,0.2556376706020838,0.6304151200703227,0.46026015578786245,0.0,0.004510181148404239
15,0.2562934863920361,0.48519140637131597,0.0,0.15713514076683338,0.7233921034518831,0.9140782418123385,0.0,0.016915170933316234
16,0.3099708548423312,0.49819704235660894,0.0,0.1187765489525367,0.6844127707586045,0.5921270587329714,0.0,0.015449333608273424
17,0.42248321904327624,0.4863549165007999,0.0,0.13202076230557352,0.6913066446499785,0.6223219124879975,0.0,0.0008478639807118736
18,0.36023094094050556,0.5101852087941876,0.0,0.14599280299541423,0.6169516096671523,0.7108282418990436,0.0,0.02380278544508573
19,0.38429602546068453,0.5851521724887815,0.0,0.3289982798063565,0.6090863001621618,0.3330479903372955,0.0,0.011660690397817277
20,0.36046823887161994,0.49346436460233595,0.0,0.5059001057837105,0.5919483122112978,0.18218932825003498,0.0,0.010091288479157308
21,0.36708327897157167,0.46542136321943745,0.0,0.5336559823369862,0.3430469771684828,0.16595241374751035,0.0,0.020588868825581922
22,0.36360258907510445,0.668483570383196,0.0,0.7041965871898714,0.28263159645726194,0.16970290978421781,0.0,0.02797040678383322
23,0.23710886134578846,0.7916375066955594,0.0,0.7603882238563107,0.32042248426712794,0.24422710319413848,0.0,0.024669996657572236
24,0.36388167834226526,0.9353141568504607,0.0,0.6315530944786232,0.3621763443010048,0.5268343730110133,0.0,0.008892898181587366
25,0.4366158960297464,0.397733960831518,0.0,0.47939994815349757,0.6080191251648119,0.2939971265859151,0.0,0.013785471675654953
26,0.44619043522604585,0.39165963553483313,0.0,0.3505969513071479,0.509353307601804,0.41738262105040297,0.0,0.025143434799822086
27,0.5247062680934719,0.4159697754540357,0.0,0.361730108355328,0.5807468043144721,0.49311396336389474,0.0,0.01648725568935964
28,0.3954672819100695,0.5424553628406178,0.0,0.10231755234520817,0.6444754059654323,0.7958520318599953,0.0,0.00044384825835923347
29,0.5183578278958855,0.6566992188234716,0.0,0.09388199780883982,0.5676279556927426,0.8942279461819754,0.0,0.02433085106528748
30,0.4742828595325873,0.6100448698935048,0.0,0.5506938745485699,0.32785058391973515,0.3296971887408202,0.0,0.024780389685933383
