COUNTRY,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,yearToDate,share,periodo_id
Chile,December 2010,2010,12,December,Hydro,1862.354,21641.001,0.3491882541299787,12
Chile,December 2010,2010,12,December,Wind,23.581,332.001,0.0044213979837555,12
Chile,December 2010,2010,12,December,Coal,1442.39,15974.071,0.2704457078914857,12
Chile,December 2010,2010,12,December,Oil,487.535,8022.08,0.0914119955052901,12
Chile,December 2010,2010,12,December,Natural gas,1224.061,10124.676,0.2295093862598602,12
Chile,December 2010,2010,12,December,Combustible renewables,284.126,2128.172,0.0532731488712319,12
Chile,January 2011,2011,1,January,Hydro,1896.733,20937.001,0.3638760460271113,13
Chile,January 2011,2011,1,January,Wind,28.383,338.001,0.005445096286292,13
Chile,January 2011,2011,1,January,Coal,1356.818,18534.705,0.2602968203845313,13
Chile,January 2011,2011,1,January,Oil,335.836,6003.775,0.0644279800022253,13
Chile,January 2011,2011,1,January,Natural gas,1267.7,12960.784,0.2432001043629066,13
Chile,January 2011,2011,1,January,Combustible renewables,327.11,4414.735,0.0627539529369333,13
Chile,February 2011,2011,2,February,Hydro,1470.305,20937.001,0.3072395488652988,14
Chile,February 2011,2011,2,February,Wind,18.898,338.001,0.0039489854108204,14
Chile,February 2011,2011,2,February,Coal,1216.822,18534.705,0.2542709453680499,14
Chile,February 2011,2011,2,February,Oil,529.6,6003.775,0.1106668786945989,14
Chile,February 2011,2011,2,February,Natural gas,1216.66,12960.784,0.2542370933394462,14
Chile,February 2011,2011,2,February,Combustible renewables,333.248,4414.735,0.0696365483217856,14
Chile,March 2011,2011,3,March,Hydro,1277.178,20937.001,0.235173996216749,15
Chile,March 2011,2011,3,March,Wind,29.798,338.001,0.0054868739825354,15
Chile,March 2011,2011,3,March,Coal,1416.557,18534.705,0.2608386384347438,15
Chile,March 2011,2011,3,March,Oil,1035.994,6003.775,0.1907634245473807,15
Chile,March 2011,2011,3,March,Natural gas,1362.332,12960.784,0.2508538830248846,15
Chile,March 2011,2011,3,March,Combustible renewables,308.921,4414.735,0.0568833679293523,15
Chile,April 2011,2011,4,April,Hydro,1201.971,20937.001,0.2378344825975951,16
Chile,April 2011,2011,4,April,Wind,28.51,338.001,0.0056412851049296,16
Chile,April 2011,2011,4,April,Coal,1528.301,18534.705,0.3024055302402364,16
Chile,April 2011,2011,4,April,Oil,676.744,6003.775,0.1339076059996679,16
Chile,April 2011,2011,4,April,Natural gas,1301.261,12960.784,0.2574810346168328,16
Chile,April 2011,2011,4,April,Combustible renewables,317.025,4414.735,0.0627298635703378,16
Chile,May 2011,2011,5,May,Hydro,1227.938,20937.001,0.2300245958911936,17
Chile,May 2011,2011,5,May,Wind,15.68,338.001,0.0029372701745315,17
Chile,May 2011,2011,5,May,Coal,1762.526,18534.705,0.3301667762523205,17
Chile,May 2011,2011,5,May,Oil,710.437,6003.775,0.1330832532515093,17
Chile,May 2011,2011,5,May,Natural gas,1312.062,12960.784,0.2457832002382785,17
Chile,May 2011,2011,5,May,Combustible renewables,309.646,4414.735,0.0580047168662624,17
Chile,June 2011,2011,6,June,Hydro,1255.332,20937.001,0.2389574692054814,18
Chile,June 2011,2011,6,June,Wind,35.85,338.001,0.0068241909479058,18
Chile,June 2011,2011,6,June,Coal,1632.931,18534.705,0.3108349497560613,18
Chile,June 2011,2011,6,June,Oil,809.197,6003.775,0.1540338868193179,18
Chile,June 2011,2011,6,June,Natural gas,1195.566,12960.784,0.227580771961617,18
Chile,June 2011,2011,6,June,Combustible renewables,324.495,4414.735,0.0617689216636178,18
Chile,July 2011,2011,7,July,Hydro,1614.138,20937.001,0.3066109470125084,19
Chile,July 2011,2011,7,July,Wind,25.181,338.001,0.0047832157205406,19
Chile,July 2011,2011,7,July,Coal,1683.029,18534.705,0.3196970243805146,19
